,reviews,calories,calories_unit,carbs,carbs_unit,mash_ph
2504,0,323,calories,32,g,n/a
2505,1,269,calories,22,g,n/a
2506,0,218,calories,22,g,n/a
2507,1,185,calories,20,g,n/a
2508,0,175,calories,19,g,n/a
2509,0,223,calories,24,g,n/a
2510,0,284,calories,24,g,n/a
2511,0,287,calories,30,g,n/a
2512,1,176,calories,16,g,n/a
2513,0,195,calories,19,g,n/a
2514,0,207,calories,25,g,n/a
2515,0,216,calories,24,g,n/a
2516,0,205,calories,21,g,n/a
2517,0,298,calories,26,g,n/a
2518,0,165,calories,17,g,n/a
2519,1,218,calories,22,g,n/a
2520,0,171,calories,16,g,n/a
2521,0,179,calories,15,g,n/a
2522,0,224,calories,17,g,n/a
2523,0,172,calories,18,g,n/a
2524,0,191,calories,19,g,n/a
2525,0,184,calories,18,g,n/a
2526,0,184,calories,22,g,n/a
2527,1,222,calories,22,g,n/a
2528,0,168,calories,18,g,n/a
2529,0,218,calories,22,g,n/a
2530,0,260,calories,23,g,n/a
2531,0,166,calories,18,g,n/a
2532,0,206,calories,22,g,n/a
2533,0,162,calories,17,g,n/a
2534,0,205,calories,21,g,n/a
2535,0,149,calories,12,g,n/a
2536,0,148,calories,15,g,n/a
2537,0,199,calories,22,g,n/a
2538,0,196,calories,21,g,n/a
2539,0,231,calories,21,g,5.3
2540,0,274,calories,28,g,n/a
2541,0,178,calories,18,g,5.18
2542,0,223,calories,24,g,n/a
2543,0,215,calories,21,g,n/a
2544,1,368,calories,42,g,n/a
2545,0,155,calories,15,g,5.79
2546,0,203,calories,17,g,n/a
2547,0,267,calories,29,g,n/a
2548,0,151,calories,15,g,n/a
2549,0,218,calories,21,g,n/a
2550,0,228,calories,23,g,n/a
2551,1,200,calories,18,g,n/a
2552,0,242,calories,25,g,n/a
2553,0,204,calories,19,g,n/a
2554,0,175,calories,18,g,n/a
2555,0,155,calories,15,g,n/a
2556,0,175,calories,18,g,n/a
2557,0,178,calories,18,g,n/a
2558,0,182,calories,18,g,n/a
2559,0,149,calories,17,g,n/a
2560,0,172,calories,17,g,n/a
2561,0,187,calories,23,g,n/a
2562,0,184,calories,21,g,n/a
2563,0,252,calories,25,g,n/a
2564,0,187,calories,18,g,n/a
2565,0,314,calories,32,g,n/a
2566,0,182,calories,19,g,n/a
2567,0,246,calories,24,g,n/a
2568,1,327,calories,26,g,n/a
2569,0,178,calories,18,g,n/a
2570,0,192,calories,20,g,n/a
2571,1,212,calories,20,g,n/a
2572,0,207,calories,24,g,n/a
2573,0,227,calories,30,g,n/a
2574,0,172,calories,18,g,n/a
2575,0,277,calories,30,g,n/a
2576,0,248,calories,35,g,n/a
2577,1,325,calories,31,g,n/a
2578,0,362,calories,41,g,n/a
2579,0,230,calories,26,g,n/a
2580,0,248,calories,24,g,n/a
2581,0,151,calories,16,g,n/a
2582,0,237,calories,26,g,n/a
2583,0,300,calories,30,g,n/a
2584,0,168,calories,18,g,n/a
2585,0,267,calories,29,g,n/a
2586,2,171,calories,16,g,n/a
2587,1,217,calories,24,g,n/a
2588,0,184,calories,22,g,n/a
2589,0,194,calories,18,g,n/a
2590,1,296,calories,19,g,n/a
2591,0,198,calories,20,g,n/a
2592,0,141,calories,14,g,n/a
2593,2,188,calories,19,g,n/a
2594,0,205,calories,21,g,n/a
2595,0,172,calories,18,g,n/a
2596,0,195,calories,20,g,n/a
2597,2,246,calories,25,g,n/a
2598,0,150,calories,15,g,n/a
2599,0,194,calories,23,g,n/a
2600,0,249,calories,26,g,n/a
2601,0,168,calories,17,g,n/a
2602,0,302,calories,33,g,n/a
2603,0,236,calories,21,g,n/a
2604,0,188,calories,19,g,n/a
2605,0,192,calories,20,g,n/a
2606,0,359,calories,37,g,n/a
2607,0,186,calories,21,g,n/a
2608,0,339,calories,37,g,n/a
2609,0,199,calories,21,g,n/a
2610,0,400,calories,35,g,n/a
2611,0,164,calories,15,g,n/a
2612,0,228,calories,23,g,n/a
2613,0,182,calories,17,g,n/a
2614,0,239,calories,21,g,n/a
2615,0,188,calories,20,g,3.4
2616,0,219,calories,24,g,n/a
2617,0,185,calories,20,g,n/a
2618,0,174,calories,16,g,5.68
2619,1,234,calories,22,g,n/a
2620,0,205,calories,17,g,n/a
2621,0,198,calories,20,g,n/a
2622,0,188,calories,19,g,n/a
2623,0,163,calories,18,g,n/a
2624,0,213,calories,22,g,n/a
2625,0,199,calories,21,g,n/a
2626,2,370,calories,40,g,n/a
2627,0,237,calories,26,g,n/a
2628,0,156,calories,17,g,n/a
2629,0,411,calories,43,g,5.3
2630,0,239,calories,21,g,n/a
2631,0,213,calories,24,g,n/a
2632,0,145,calories,14,g,n/a
2633,0,185,calories,19,g,n/a
2634,0,226,calories,28,g,n/a
2635,0,185,calories,20,g,n/a
2636,0,227,calories,22,g,n/a
2637,0,243,calories,20,g,n/a
2638,0,166,calories,18,g,n/a
2639,0,247,calories,27,g,n/a
2640,0,240,calories,27,g,n/a
2641,0,280,calories,30,g,n/a
2642,0,166,calories,18,g,n/a
2643,0,166,calories,19,g,n/a
2644,0,196,calories,21,g,n/a
2645,0,276,calories,32,g,n/a
2646,0,260,calories,23,g,n/a
2647,0,216,calories,23,g,n/a
2648,0,195,calories,20,g,n/a
2649,0,168,calories,18,g,n/a
2650,0,164,calories,18,g,n/a
2651,0,189,calories,21,g,n/a
