,title,style,size,ABV,IBU,OG,FG,color,method,views,brewed,rating,size_unit,author,author_name,boil_size,boil_time,boil_grav,pitch_rate,temp_prim,temp_unit,prim_method,prim_amount,prim_amount_unit,creation_date,url_beer,url_style,url_author,efficiency,mash_thick,sugar_scale
0,Sierra Nevada Pale Ale Clone,American Pale Ale,6.5,5.58,40.12,1.055,1.013,8,All Grain,193152,481,4.73,Gal,5889,Ozarks Mountain Brew,7.75,70,1.047,1.0,,,,,,12/27/2012 09:03 PM,https://www.brewersfriend.com/homebrew/recipe/view/28546/sierra-nevada-pale-ale-clone,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/5889,79,,Specific Gravity
1,Avg. Perfect Northeast IPA (NEIPA),Specialty IPA: New England IPA,5.75,6.5,50.6,1.062,1.013,5,All Grain,197026,224,4.66,Gal,49801,kcq101,7.5,60,1.048,,,,Keg ,,,05/31/2016 02:52 PM,https://www.brewersfriend.com/homebrew/recipe/view/363082/avg-perfect-northeast-ipa-neipa-,https://www.brewersfriend.com/styles/specialty-ipa-new-england-ipa/,https://www.brewersfriend.com/homebrew/brewer/49801,70,1.25,Specific Gravity
2,Zombie Dust Clone - ALL GRAIN,American IPA,6,5.94,54.57,1.061,1.016,8,All Grain,177768,169,4.57,Gal,,Players Only Brewing,7,60,1.053,,,,,,,03/29/2012 02:27 PM,https://www.brewersfriend.com/homebrew/recipe/view/5916/zombie-dust-clone-all-grain,https://www.brewersfriend.com/styles/american-ipa/,,70,,Specific Gravity
3,Zombie Dust Clone - EXTRACT,American IPA,5,6.16,64.77,1.063,1.016,8,Extract,170363,145,4.57,Gal,,Players Only Brewing,6,60,1.052,,,,,,,03/29/2012 02:52 PM,https://www.brewersfriend.com/homebrew/recipe/view/5920/zombie-dust-clone-extract,https://www.brewersfriend.com/styles/american-ipa/,,70,,Specific Gravity
4,Simple Citra IPA - One Gallon,American IPA,1,6.1,37.06,1.058,1.011,11,All Grain,36061,103,5.0,Gal,45128,enrique,1.5,60,1.039,0.35,65 , F,,,,04/02/2015 06:03 PM,https://www.brewersfriend.com/homebrew/recipe/view/231072/simple-citra-ipa-one-gallon,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/45128,55,1.5,Specific Gravity
5,Vanilla Cream Ale,Cream Ale,5.75,5.48,17.65,1.055,1.013,4,All Grain,235906,86,4.7,Gal,116,stikks,7.5,75,1.038,,64 , F,corn sugar,4.5,oz,01/31/2012 01:35 AM,https://www.brewersfriend.com/homebrew/recipe/view/1633/vanilla-cream-ale,https://www.brewersfriend.com/styles/cream-ale/,https://www.brewersfriend.com/homebrew/brewer/116,70,,Specific Gravity
6,Southern Tier Pumking clone,Holiday/Winter Special Spiced Beer,5.5,8.16,60.65,1.083,1.021,15,All Grain,168781,77,4.58,Gal,955,mackeydj,6.5,60,1.07,,,,,,,08/20/2012 03:48 AM,https://www.brewersfriend.com/homebrew/recipe/view/16367/southern-tier-pumking-clone,https://www.brewersfriend.com/styles/holiday-winter-special-spiced-beer/,https://www.brewersfriend.com/homebrew/brewer/955,70,,Specific Gravity
7,Great Lakes Christmas Ale Clone,Winter Seasonal Beer,6,7.31,28.98,1.072,1.017,10,BIAB,20313,54,5.0,Gal,39433,Cameron,8.11,60,1.053,0.35,70 , F,,,,09/30/2015 08:44 PM,https://www.brewersfriend.com/homebrew/recipe/view/282437/great-lakes-christmas-ale-clone,https://www.brewersfriend.com/styles/winter-seasonal-beer/,https://www.brewersfriend.com/homebrew/brewer/39433,70,,Specific Gravity
8,Bells two hearted clone,American IPA,5.5,7.14,61.83,1.073,1.018,8,All Grain,148134,53,3.33,Gal,955,mackeydj,6.5,60,1.061,0.75,65 , F,,,,03/02/2012 02:44 AM,https://www.brewersfriend.com/homebrew/recipe/view/3837/bells-two-hearted-clone,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/955,75,,Specific Gravity
9,Goose Island IPA Clone,English IPA,5.5,6.63,55.52,1.065,1.015,9,All Grain,55877,50,5.0,Gal,5889,Ozarks Mountain Brew,7.5,60,1.048,,64 , F,,,,12/25/2012 03:04 PM,https://www.brewersfriend.com/homebrew/recipe/view/28343/goose-island-ipa-clone,https://www.brewersfriend.com/styles/english-ipa/,https://www.brewersfriend.com/homebrew/brewer/5889,75,1.5,Specific Gravity
10,Siddhartha of Suburbia Saison,Saison,5.5,7.66,31.43,1.072,1.013,6,All Grain,18586,50,5.0,Gal,1186,dpatrickv,7,60,1.056,,,,,,,04/17/2012 04:59 PM,https://www.brewersfriend.com/homebrew/recipe/view/7442/siddhartha-of-suburbia-saison,https://www.brewersfriend.com/styles/saison/,https://www.brewersfriend.com/homebrew/brewer/1186,70,,Specific Gravity
11,Mango Habanero IPA,Imperial IPA,5.5,8.88,109.28,1.086,1.018,8,All Grain,156342,48,5.0,Gal,,Meadhawg,7.5,60,1.063,,70 , F,Corn Sugar,4.6,oz,07/18/2013 04:06 PM,https://www.brewersfriend.com/homebrew/recipe/view/61082/mango-habanero-ipa,https://www.brewersfriend.com/styles/imperial-ipa/,,70,,Specific Gravity
12,Russian River Pliny the Elder (original),Imperial IPA,6,7.09,268.71,1.072,1.018,6,All Grain,174864,44,4.75,Gal,1051,JimmySpeakaz,8,90,,,,,,,,02/26/2013 02:16 PM,https://www.brewersfriend.com/homebrew/recipe/view/37534/russian-river-pliny-the-elder-original-,https://www.brewersfriend.com/styles/imperial-ipa/,https://www.brewersfriend.com/homebrew/brewer/1051,75,,Specific Gravity
13,Hopped and Loaded 16 BBL,American IPA,4,7.22,97.56,16.408,3.12005,6,All Grain,6611,43,0.0,Gal,52796,105WestBrewing,531,75,15.4,0.75,68 , F,,,,10/27/2015 07:07 PM,https://www.brewersfriend.com/homebrew/recipe/view/290559/hopped-and-loaded-16-bbl,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/52796,80,1.3,Plato
14,Biermuncher's Centennial Blonde,Blonde Ale,5.5,3.83,21.02,1.041,1.011,3,All Grain,20960,43,5.0,Gal,,EvilDeadAsh,6.5,60,,,,,Corn Sugar,4.1,oz,08/17/2012 07:51 PM,https://www.brewersfriend.com/homebrew/recipe/view/16156/biermuncher-s-centennial-blonde,https://www.brewersfriend.com/styles/blonde-ale/,,70,,Specific Gravity
15,Chocolate Vanilla Porter,Robust Porter,6,5.77,31.63,1.06,1.016,34,All Grain,173508,42,4.0,Gal,116,stikks,8,75,1.042,,,,corn sugar,4,oz,01/02/2013 08:30 PM,https://www.brewersfriend.com/homebrew/recipe/view/29265/chocolate-vanilla-porter,https://www.brewersfriend.com/styles/robust-porter/,https://www.brewersfriend.com/homebrew/brewer/116,73,,Specific Gravity
16,Julius | Tree House Brewing (approximation) Braumeister 20L,American IPA,2,6.48,43.5,1.063,1.014,5,BIAB,21227,41,5.0,L,54364,AnteK,25,70,1.05,0.75,20 , C,,,,05/16/2017 01:35 PM,https://www.brewersfriend.com/homebrew/recipe/view/492893/julius-tree-house-brewing-approximation-braumeister-20l,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/54364,73,,Specific Gravity
17,Cascade Pale Ale,American Pale Ale,5.5,5.24,40.86,1.049,1.009,3,All Grain,25130,40,5.0,Gal,,LarryBrewer,7,60,,,,,,,,03/04/2012 12:19 AM,https://www.brewersfriend.com/homebrew/recipe/view/3984/cascade-pale-ale,https://www.brewersfriend.com/styles/american-pale-ale/,,75,,Specific Gravity
18,Syntax Error IPA II,American IPA,4,7.2,105.67,1.068,1.013,7,All Grain,15462,39,5.0,L,,Aasbakkane Garasjebryggeri,52,60,1.055,,19 , C,,,,03/22/2015 06:14 PM,https://www.brewersfriend.com/homebrew/recipe/view/227462/syntax-error-ipa-ii,https://www.brewersfriend.com/styles/american-ipa/,,68,2,Specific Gravity
19,IPA - Tired Hands Milkshake,American IPA,6.5,6.01,55.83,1.066,1.02,4,BIAB,45066,31,5.0,Gal,16332,mystikhybrid,7.5,60,1.057,0.5,65 , F,,,,08/31/2016 09:00 PM,https://www.brewersfriend.com/homebrew/recipe/view/392896/ipa-tired-hands-milkshake,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/16332,80,,Specific Gravity
20,NEIPA Hoppy ( juicy) -  Braumeister 20L,American IPA,2,6.29,53.57,1.062,1.014,5,BIAB,56623,30,5.0,L,54364,AnteK,25,70,1.052,0.75,20 , C,,,,11/13/2015 02:47 PM,https://www.brewersfriend.com/homebrew/recipe/view/295897/neipa-hoppy-juicy-braumeister-20l,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/54364,73,,Specific Gravity
21,Spotted Clown (New Glarus Spotted Cow clone),Cream Ale,5.5,5.36,19.97,1.054,1.014,5,All Grain,174144,30,4.75,Gal,116,stikks,7.5,75,1.04,,,,corn sugar,4.2,oz,01/09/2012 08:26 PM,https://www.brewersfriend.com/homebrew/recipe/view/672/spotted-clown-new-glarus-spotted-cow-clone-,https://www.brewersfriend.com/styles/cream-ale/,https://www.brewersfriend.com/homebrew/brewer/116,70,1.4,Specific Gravity
22,Roche Four LODO,Trappist Single,1,5.14,20.7,1.052,1.013,18,All Grain,4547,28,0.0,L,,homoeccentricus,17,60,1.042,0.5,18 , C,,,,10/18/2016 08:20 PM,https://www.brewersfriend.com/homebrew/recipe/view/410106/roche-four-lodo,https://www.brewersfriend.com/styles/trappist-single/,,72,5.5,Specific Gravity
23,Brewdog Punk IPA clone,American IPA,4,5.7,40.7,13.4024,2.78885,4,All Grain,29479,28,5.0,L,,mash head,54,60,11.5,1.0,19 , C,Force carb,,,08/27/2015 08:38 PM,https://www.brewersfriend.com/homebrew/recipe/view/272331/brewdog-punk-ipa-clone,https://www.brewersfriend.com/styles/american-ipa/,,75,3.3,Plato
24,Easy Blonde Ale,Blonde Ale,5.5,4.48,19.68,1.045,1.011,4,All Grain,20362,28,4.66,Gal,50030,Marriedtoahotlibrarian2,7.5,60,1.033,2.0,64 , F,,,,07/26/2015 03:34 AM,https://www.brewersfriend.com/homebrew/recipe/view/263557/easy-blonde-ale,https://www.brewersfriend.com/styles/blonde-ale/,https://www.brewersfriend.com/homebrew/brewer/50030,75,1.5,Specific Gravity
25,Ballast Point Sculpin Ale Clone,Imperial IPA,1,8.43,79.28,1.084,1.02,6,All Grain,45886,28,5.0,Gal,20984,JonyMac,13.5,60,1.075,1.0,69 , F,,,,12/05/2013 04:04 AM,https://www.brewersfriend.com/homebrew/recipe/view/89253/ballast-point-sculpin-ale-clone,https://www.brewersfriend.com/styles/imperial-ipa/,https://www.brewersfriend.com/homebrew/brewer/20984,90,1.25,Specific Gravity
26,Citra SMaSH,American Pale Ale,5,6.12,38.79,1.065,1.018,3,All Grain,10201,28,0.0,Gal,,mkirkland,6,60,,,62 , F,,,,01/17/2013 06:36 PM,https://www.brewersfriend.com/homebrew/recipe/view/31351/citra-smash,https://www.brewersfriend.com/styles/american-pale-ale/,,75,,Specific Gravity
27,Blue Moon Belgian White,Witbier,1,5.17,12.91,1.052,1.013,3,All Grain,13514,27,0.0,Gal,,blunderbuss,15,90,1.038,,,,,,,03/09/2015 03:11 PM,https://www.brewersfriend.com/homebrew/recipe/view/223529/blue-moon-belgian-white,https://www.brewersfriend.com/styles/witbier/,,65,1.5,Specific Gravity
