,title,style,size,ABV,IBU,OG,FG,color,method,views,brewed,rating,size_unit,author,author_name,boil_size,boil_time,boil_grav,pitch_rate,temp_prim,temp_unit,prim_method,prim_amount,prim_amount_unit,creation_date,url_beer,url_style,url_author,efficiency,mash_thick,sugar_scale
28,Bakke Brygg Belgisk Blond 50 L,Belgian Blond Ale,5,6.52,18.54,1.062,1.012,4,All Grain,167898,27,4.0,L,18325,Bakke Brygg,58,90,1.047,1.0,18 , C,Sukkerlake,"7,5",g,12/06/2013 02:52 PM,https://www.brewersfriend.com/homebrew/recipe/view/89534/bakke-brygg-belgisk-blond-50-l,https://www.brewersfriend.com/styles/belgian-blond-ale/,https://www.brewersfriend.com/homebrew/brewer/18325,77,,Specific Gravity
29,Bakke Brygg HveteIPA 25 L,American IPA,2,6.76,64.26,1.064,1.013,7,All Grain,146914,27,4.33,L,18325,Bakke Brygg,29,90,1.055,1.0,18 , C,Sukkerlake,"6,5",g,09/27/2013 08:44 PM,https://www.brewersfriend.com/homebrew/recipe/view/73890/bakke-brygg-hveteipa-25-l,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/18325,74,,Specific Gravity
30,Sam Adams Rebel IPA Clone,American IPA,5,6.51,60.96,1.066,1.017,10,Extract,146947,25,4.0,Gal,23595,Cavebrewer,3,60,1.11,0.35,65 , F,,,,02/12/2014 05:50 PM,https://www.brewersfriend.com/homebrew/recipe/view/106996/sam-adams-rebel-ipa-clone,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/23595,30,,Specific Gravity
31,New Glarus Fat Squirrel Clone,Northern English Brown,5.5,4.61,13.64,1.046,1.01,12,All Grain,145880,25,0.0,Gal,,JonGrafto,7.5,90,1.033,,62 , F,Priming Sugar,Std,,01/27/2012 07:40 PM,https://www.brewersfriend.com/homebrew/recipe/view/1435/new-glarus-fat-squirrel-clone,https://www.brewersfriend.com/styles/northern-english-brown/,,70,,Specific Gravity
32,Bud Light Clone,Light American Lager,5,4.38,16.34,1.04,1.007,2,Extract,17862,24,5.0,Gal,18665,Nu Home Brew & Bottles,1.5,60,1.134,0.35,65 , F,,,,01/07/2014 09:13 PM,https://www.brewersfriend.com/homebrew/recipe/view/96572/bud-light-clone,https://www.brewersfriend.com/styles/light-american-lager/,https://www.brewersfriend.com/homebrew/brewer/18665,50,,Specific Gravity
33,White IPA,American IPA,1,6.2,64.67,1.064,1.017,3,All Grain,148962,24,5.0,Gal,,prospero,9,60,1.071,,,,,,,04/28/2012 09:59 PM,https://www.brewersfriend.com/homebrew/recipe/view/8361/white-ipa,https://www.brewersfriend.com/styles/american-ipa/,,70,1.2,Specific Gravity
34,Bakke Brygg Kölsch 25 L,Kölsch,2,4.86,23.49,1.047,1.01,3,All Grain,17135,23,5.0,L,18325,Bakke Brygg,29,90,1.04,1.25,16 , C,Sukkerlake,"6,5",g,05/02/2014 10:58 AM,https://www.brewersfriend.com/homebrew/recipe/view/129004/bakke-brygg-klsch-25-l,https://www.brewersfriend.com/styles/kolsch/,https://www.brewersfriend.com/homebrew/brewer/18325,78,,Specific Gravity
35,MZZ Porter,Robust Porter,1,5.93,36.58,1.057,1.012,34,All Grain,3307,22,0.0,L,46149,M. Joskey,32.1,90,1.032,0.5,26 , C,Brown sugar,0.8,oz,05/07/2015 03:39 AM,https://www.brewersfriend.com/homebrew/recipe/view/241534/mzz-porter,https://www.brewersfriend.com/styles/robust-porter/,https://www.brewersfriend.com/homebrew/brewer/46149,60,2.087,Specific Gravity
36,Rochefort 10 clone,Belgian Dark Strong Ale,1,11.3,27,1.096,1.01,20,All Grain,14242,21,5.0,L,9684,Umoyk,22,90,1.062,0.75,22 , C,,,,11/10/2013 10:30 PM,https://www.brewersfriend.com/homebrew/recipe/view/83669/rochefort-10-clone,https://www.brewersfriend.com/styles/belgian-dark-strong-ale/,https://www.brewersfriend.com/homebrew/brewer/9684,74,2.75,Specific Gravity
37,west coast ipa,American IPA,5,6.13,66,1.062,1.016,6,Partial Mash,13312,21,5.0,Gal,,djs1385,6,60,1.052,,,,,,,02/17/2012 07:30 PM,https://www.brewersfriend.com/homebrew/recipe/view/2742/west-coast-ipa,https://www.brewersfriend.com/styles/american-ipa/,,51,,Specific Gravity
38,Trillium Headroom Clone,American IPA,5.5,8.08,172.09,1.081,1.02,5,All Grain,7497,20,5.0,Gal,75823,Steve Licht,7.5,60,1.06,,62 , F,,,,02/06/2017 06:26 PM,https://www.brewersfriend.com/homebrew/recipe/view/450990/trillium-headroom-clone,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/75823,70,1.5,Specific Gravity
39,Kentucky Bourbon Barrel Ale,Wood-Aged Beer,5,8.62,20.79,1.099,1.033,37,All Grain,9844,20,0.0,Gal,18516,Codan,6,60,1.082,,68 , F,priming sugar,7,ozs,10/02/2013 01:42 AM,https://www.brewersfriend.com/homebrew/recipe/view/74737/kentucky-bourbon-barrel-ale,https://www.brewersfriend.com/styles/wood-aged-beer/,https://www.brewersfriend.com/homebrew/brewer/18516,70,1.25,Specific Gravity
40,Talus A Trippel like... BIPA,Belgian Golden Strong Ale,1,8.59,71.69,1.075,1.009,6,All Grain,8256,20,0.0,Gal,2125,The Wild Strain,14,90,1.075,1.25,80 , F,,,,06/21/2012 03:39 AM,https://www.brewersfriend.com/homebrew/recipe/view/12380/talus-a-trippel-like-bipa,https://www.brewersfriend.com/styles/belgian-golden-strong-ale/,https://www.brewersfriend.com/homebrew/brewer/2125,77,,Specific Gravity
41,Sierra Nevada Pale Ale Clone,American IPA,5,5.57,43.02,1.056,1.013,10,Extract,14485,20,5.0,Gal,,dhauck,3,60,,,,,,,,01/24/2012 06:21 PM,https://www.brewersfriend.com/homebrew/recipe/view/1281/sierra-nevada-pale-ale-clone,https://www.brewersfriend.com/styles/american-ipa/,,75,,Specific Gravity
42,Smithwicks Clone,Irish Red Ale,5,5.8,36.2,1.061,1.016,17,Extract,7929,19,5.0,Gal,30956,Fireman85p,3,60,1.101,,,,,,,02/14/2015 06:57 PM,https://www.brewersfriend.com/homebrew/recipe/view/215983/smithwicks-clone,https://www.brewersfriend.com/styles/irish-red-ale/,https://www.brewersfriend.com/homebrew/brewer/30956,45,,Specific Gravity
43,BC Irish Red,Irish Red Ale,2,5.03,14.92,1.049,1.011,20,Partial Mash,7823,18,5.0,L,,Buckskin,9,75,1.109,,21 , C,,,,02/04/2015 10:43 AM,https://www.brewersfriend.com/homebrew/recipe/view/212483/bc-irish-red,https://www.brewersfriend.com/styles/irish-red-ale/,,50,,Specific Gravity
44,Bill's Double Chocolate Milk Stout,Sweet Stout,5.5,5.87,37.61,1.066,1.021,41,All Grain,26208,18,5.0,Gal,18590,Blind Bill,6.5,60,1.056,0.5,,,,,,11/08/2014 04:41 PM,https://www.brewersfriend.com/homebrew/recipe/view/180328/bill-s-double-chocolate-milk-stout,https://www.brewersfriend.com/styles/sweet-stout/,https://www.brewersfriend.com/homebrew/brewer/18590,65,1.25,Specific Gravity
45,Raging Red Irish Red Ale,Irish Red Ale,5.5,6.13,34.36,1.055,1.009,15,All Grain,13845,18,5.0,Gal,5889,Ozarks Mountain Brew,7.5,60,1.035,1.0,62 , F,,,,10/06/2014 07:58 PM,https://www.brewersfriend.com/homebrew/recipe/view/170777/raging-red-irish-red-ale,https://www.brewersfriend.com/styles/irish-red-ale/,https://www.brewersfriend.com/homebrew/brewer/5889,72,1.75,Specific Gravity
46,Lagunitas IPA Clone,English IPA,5.5,6.17,56.65,1.061,1.014,5,All Grain,41800,18,5.0,Gal,5889,Ozarks Mountain Brew,7.5,60,1.045,,,,,,,12/25/2012 03:18 PM,https://www.brewersfriend.com/homebrew/recipe/view/28344/lagunitas-ipa-clone,https://www.brewersfriend.com/styles/english-ipa/,https://www.brewersfriend.com/homebrew/brewer/5889,75,,Specific Gravity
47,Hefeweizen,Weissbier,1,5.4,63.1,1.056,1.015,4,BIAB,731,17,0.0,Gal,195886,JMG1994,2.78,60,1.02,0.75,70 , F,,,,09/28/2018 04:06 AM,https://www.brewersfriend.com/homebrew/recipe/view/710562/hefeweizen,https://www.brewersfriend.com/styles/weissbier/,https://www.brewersfriend.com/homebrew/brewer/195886,72,,Specific Gravity
48,JUSTIN SIMPCOE IPA,American IPA,5.25,5.62,121.67,1.053,1.01,5,Extract,1774,17,0.0,Gal,18665,Nu Home Brew & Bottles,3,60,1.05,,,,,,,02/08/2016 08:16 PM,https://www.brewersfriend.com/homebrew/recipe/view/323476/justin-simpcoe-ipa,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/18665,35,,Specific Gravity
49,Russian Imperial Stout,Russian Imperial Stout,5.5,9.58,98.84,1.097,1.024,50,All Grain,8067,17,5.0,Gal,,bisandcan,7.5,60,1.071,,,,,,,06/26/2015 11:56 PM,https://www.brewersfriend.com/homebrew/recipe/view/255745/russian-imperial-stout,https://www.brewersfriend.com/styles/russian-imperial-stout/,,70,1.5,Specific Gravity
50,LemonRye 11 BBL,American Wheat or Rye Beer,3,5.24,22.4,11.8977,2.05882,3,All Grain,1672,16,0.0,Gal,52796,105WestBrewing,364,60,11.2,0.75,65 , F,,,,11/04/2015 09:47 PM,https://www.brewersfriend.com/homebrew/recipe/view/293071/lemonrye-11-bbl,https://www.brewersfriend.com/styles/american-wheat-or-rye-beer/,https://www.brewersfriend.com/homebrew/brewer/52796,81,1.5,Plato
51,Sam Adams Octoberfest Clone,Oktoberfest/Märzen,5,6.65,28.62,1.072,1.021,40,All Grain,8630,16,3.33,Gal,,,7.5,60,1.048,0.35,68 , F,,,,08/13/2015 02:21 PM,https://www.brewersfriend.com/homebrew/recipe/view/268433/sam-adams-octoberfest-clone,https://www.brewersfriend.com/styles/oktoberfest-marzen/,,70,1.5,Specific Gravity
52,Kronenbourg 1664 Blanc klone,Witbier,2,5.36,18.92,1.052,1.011,3,All Grain,16519,16,4.5,L,,JL Brygghus,29,90,1.041,1.0,18 , C,Sukker,8,,05/16/2015 08:04 AM,https://www.brewersfriend.com/homebrew/recipe/view/244064/kronenbourg-1664-blanc-klone,https://www.brewersfriend.com/styles/witbier/,,75,5,Specific Gravity
53,Bavarian Hefeweizen,Weizen/Weissbier,5.25,4.45,12.35,1.044,1.011,3,BIAB,13541,16,0.0,Gal,993,kcpup,7.25,90,1.032,0.75,62 , F,,,,05/07/2012 03:18 PM,https://www.brewersfriend.com/homebrew/recipe/view/9004/bavarian-hefeweizen,https://www.brewersfriend.com/styles/weizen-weissbier/,https://www.brewersfriend.com/homebrew/brewer/993,65,,Specific Gravity
54,All Grain American Honey Wheat,American Wheat or Rye Beer,5,5.97,28.02,1.06,1.014,3,All Grain,12267,16,4.5,Gal,718,kfc,5,60,,,,,,,,02/26/2012 10:48 PM,https://www.brewersfriend.com/homebrew/recipe/view/3508/all-grain-american-honey-wheat,https://www.brewersfriend.com/styles/american-wheat-or-rye-beer/,https://www.brewersfriend.com/homebrew/brewer/718,70,,Specific Gravity
55,Hazy Juicy IPA,American IPA,6,6.51,121.43,1.062,1.012,4,All Grain,35066,15,5.0,Gal,86169,McCann's Brewing Company,7,60,1.053,,63 , F,,,,01/31/2017 04:10 PM,https://www.brewersfriend.com/homebrew/recipe/view/448502/hazy-juicy-ipa,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/86169,70,1.5,Specific Gravity
56,Hefeweizen 11 BBL,Weissbier,3,5.09,12.98,12.5841,3.07804,4,All Grain,2260,15,0.0,Gal,52796,105WestBrewing,363,60,11.9,0.75,68 , F,,,,03/29/2016 02:39 PM,https://www.brewersfriend.com/homebrew/recipe/view/341683/hefeweizen-11-bbl,https://www.brewersfriend.com/styles/weissbier/,https://www.brewersfriend.com/homebrew/brewer/52796,82,1.5,Plato
57,Chocolate Oatmeal Milk Stout,American Stout,1,5.76,30.84,1.062,1.018,43,All Grain,2708,15,0.0,Gal,53687,mike v,13,60,1.048,0.5,70 , F,,,,10/29/2015 03:57 PM,https://www.brewersfriend.com/homebrew/recipe/view/291108/chocolate-oatmeal-milk-stout,https://www.brewersfriend.com/styles/american-stout/,https://www.brewersfriend.com/homebrew/brewer/53687,80,1.5,Specific Gravity
58,Founders All Day IPA Clone,American Pale Ale,5,5.55,45.2,1.052,1.01,8,All Grain,17756,15,3.0,Gal,48738,JamieM,5.75,60,1.046,0.5,65 , F,,,,09/13/2015 11:46 AM,https://www.brewersfriend.com/homebrew/recipe/view/277189/founders-all-day-ipa-clone,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/48738,67,1.5,Specific Gravity
59,RYE IPA,American IPA,5.5,8.02,82.7,17.8331,3.15015,5,All Grain,1700,15,0.0,Gal,,Ericm53,7.5,60,13.3,0.75,65 , F,,,,01/26/2015 03:11 PM,https://www.brewersfriend.com/homebrew/recipe/view/209178/rye-ipa,https://www.brewersfriend.com/styles/american-ipa/,,79,1.5,Plato
60,Laundry Water,American Wheat or Rye Beer,1,5.23,37.31,1.048,1.009,4,All Grain,558,15,0.0,Gal,,Mr Walleye,15.9,60,1.043,0.75,68 , F,Corn Sugar,10,Ounces,12/14/2014 04:35 AM,https://www.brewersfriend.com/homebrew/recipe/view/194380/laundry-water,https://www.brewersfriend.com/styles/american-wheat-or-rye-beer/,,82,1.25,Specific Gravity
61,Tank 7 Clone,Saison,5.5,7.63,44.94,1.073,1.015,6,BIAB,148072,15,5.0,Gal,5100,SchuBrew,7.5,60,1.054,,,,Corn Sugar,4oz,,11/08/2012 05:04 PM,https://www.brewersfriend.com/homebrew/recipe/view/23436/tank-7-clone,https://www.brewersfriend.com/styles/saison/,https://www.brewersfriend.com/homebrew/brewer/5100,70,,Specific Gravity
62,Weg Farmhouse Ale,Saison,1,5.19,32.59,1.051,1.012,5,All Grain,10134,15,5.0,Gal,2125,The Wild Strain,14,60,1.044,0.75,70 , F,,,,06/14/2012 12:17 AM,https://www.brewersfriend.com/homebrew/recipe/view/11819/weg-farmhouse-ale,https://www.brewersfriend.com/styles/saison/,https://www.brewersfriend.com/homebrew/brewer/2125,65,,Specific Gravity
63,Hop Notch Clone,American IPA,4,6.62,111,1.066,1.015,14,BIAB,146692,15,0.0,Gal,,A-ville Brewman,3,90,,,,,,,,05/22/2012 11:31 AM,https://www.brewersfriend.com/homebrew/recipe/view/10092/hop-notch-clone,https://www.brewersfriend.com/styles/american-ipa/,,70,,Specific Gravity
64,Heavenweizen,Weizen/Weissbier,1,6.3,18.89,1.062,1.014,5,All Grain,8573,15,5.0,Gal,,turnerbrau,12,60,1.056,0.5,72 , F,,,,12/15/2011 12:51 AM,https://www.brewersfriend.com/homebrew/recipe/view/38/heavenweizen,https://www.brewersfriend.com/styles/weizen-weissbier/,,80,1.2,Specific Gravity
65,Sleeper Street | Trillium Brewing  (approximation) Braumeister 20L,American IPA,2,6.91,73.25,1.067,1.014,4,BIAB,7500,14,5.0,L,54364,AnteK,25,60,1.056,0.75,19 , C,,,,05/16/2017 06:54 PM,https://www.brewersfriend.com/homebrew/recipe/view/493014/sleeper-street-trillium-brewing-approximation-braumeister-20l,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/54364,73,,Specific Gravity
66,NEIPA | Tired Hands Milkshake (approximation) Braumeister 20L,Double IPA,2,6.42,63.89,1.066,1.017,6,BIAB,14238,14,5.0,L,54364,AnteK,25,70,1.05,1.0,18 , C,,,,03/20/2017 01:48 AM,https://www.brewersfriend.com/homebrew/recipe/view/469295/neipa-tired-hands-milkshake-approximation-braumeister-20l,https://www.brewersfriend.com/styles/double-ipa/,https://www.brewersfriend.com/homebrew/brewer/54364,72,,Specific Gravity
67,prco party beer,American Pale Ale,1,5.52,42.15,1.05,1.008,11,All Grain,3308,14,0.0,L,54712,mili,23,60,1.036,,20 , C,,,,05/03/2016 08:40 PM,https://www.brewersfriend.com/homebrew/recipe/view/353938/prco-party-beer,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/54712,62,3,Specific Gravity
